parameter,value,basis
landform_factor_hill,1.00,"Reference class for the landform ratios: the project lead's market evidence bands put Wellington hill land at $800-1200/m2 (midpoint $1000) and Lower Hutt hill land at $400-600/m2 (midpoint $500), and each city's band midpoints are divided by its own hill midpoint so hill is 1.00 by construction."
landform_factor_flat,1.72,"Wellington flat land $1500-2000/m2 (midpoint $1750) over the Wellington hill midpoint $1000 gives 1.75, Lower Hutt flat land $700-1000/m2 (midpoint $850) over the Lower Hutt hill midpoint $500 gives 1.70, and 1.72 is the adopted average of those two city ratios."
landform_factor_elevated_flat,2.06,"Judgement, set at 1.2 times the flat factor of 1.72 rather than taken from a market band: the earlier value of 3.10 came from the premium flat / sea view band, which describes Seatoun, Oriental Bay and the waterfront and is priced on the view, but elevated flat is now assigned from terrain alone and so picks up every drive-on terrace in Karori, Khandallah, Johnsonville, Maungaraki and Pinehaven, which pricing at 3.10 would badly overvalue - 2.06 pays those a real but modest premium for flat, sunny, easy-to-build-on ground, and leaves the headroom up to about 3.10 to be earned by sea view, winter sun and accessibility multiplying together when those are modelled."
rate_clip_min_multiple,0.25,"Judgement floor, not a researched figure: no modelled address may be valued below 0.25 of its territorial authority's indexed average land value, which keeps the cheapest hill addresses above an implausible near-zero land value."
rate_clip_max_multiple,4.0,"Judgement ceiling, not a researched figure: no modelled address may be valued above 4.0 times its territorial authority's indexed average land value, which stops a landform class alone from producing a waterfront-scale outlier."
beta_slope,-0.10,"Judgement, not a fitted coefficient: an address one standard deviation steeper than the rest of its territorial authority and landform class is modelled as worth about 10 percent less than its cohort average, slope entering as the exponent of a multiplicative within-cohort adjustment so that it can only move value between addresses of the same class."
beta_tpi,0.05,"Judgement, not a fitted coefficient: an address standing one standard deviation higher above its surroundings than the rest of its cohort is modelled as worth about 5 percent more - deliberately small, because most of what standing high up is worth is the view and the winter sun, which are priced separately and would otherwise be paid for twice."
terrain_modifier_clip_min,0.70,"Judgement floor, not a researched figure: the terrain modifier may not take an address below 0.70 of its cohort average, which stops one extreme slope value, or a DEM artefact read as one, from modelling a near-worthless section."
terrain_modifier_clip_max,1.40,"Judgement ceiling, not a researched figure: the terrain modifier may not take an address above 1.40 times its cohort average, so that the terrain derivatives on their own cannot manufacture the kind of premium only a view or a waterfront position could justify."
elevated_flat_min_topographic_position_m,3.0,"Starting point to be tuned against the observed share of elevated flat land, not a researched threshold: standing 3 m above the mean elevation of the surrounding neighbourhood is roughly what lifts a flat site clear of the water in a 1 percent AEP river or coastal inundation event with a sea level rise allowance on top, which is the physical distinction the elevated flat class is drawn for."
topographic_position_window_m,500,"Neighbourhood scale, chosen so that the index measures a terrace against the valley floor it stands above rather than the micro-relief of the section itself: 500 m spans the width of a Wellington gully or a good part of the Hutt Valley floor, while staying local enough that the answer is still about this address. The threshold above is only meaningful against a topographic position measured over this window."
